2 -46.01586406536951 -23.3338345624274  Area3
3 -46.01489267161573 -23.33755963506117 0 Fronteira
4 -46.01465715777508 -23.33741546948501 0 Fronteira
5 -46.01455248494158 -23.33728331784873 0 Fronteira
6 -46.01426463674861 -23.33703102908982 0 Fronteira
7 -46.01414688118637 -23.33673068632146 0 Fronteira
8 -46.01396370736779 -23.33634624932002 0 Fronteira
9 -46.01380670226951 -23.33606993600528 0 Fronteira
10 -46.01362353045222 -23.33580563691946 0 Fronteira
11 -46.01349269477122 -23.33549328431093 0 Fronteira
12 -46.01332260904905 -23.33513287814369 0 Fronteira
13 -46.01329644214113 -23.33507281048999 0 Fronteira
14 -46.01316560787212 -23.3347724723834 0 Fronteira
15 -46.01308710895752 -23.33443609430072 0 Fronteira
16 -46.013178696588 -23.3341357579323 0 Fronteira
17 -46.01329644971437 -23.33400361037888 0 Fronteira
18 -46.0134403696874 -23.3338594494365 0 Fronteira
19 -46.01361045632445 -23.33371528848308 0 Fronteira
20 -46.01378054259143 -23.33354710041736 0 Fronteira
21 -46.01400296239368 -23.33335488519257 0 Fronteira
22 -46.01421229815948 -23.33322273700776 0 Fronteira
23 -46.01450013445114 -23.33310260168533 0 Fronteira
24 -46.01478797013813 -23.33291038464754 0 Fronteira
25 -46.01494497096345 -23.33274219471804 0 Fronteira
26 -46.01508888761524 -23.33246588263964 0 Fronteira
27 -46.01523280450675 -23.33228567820553 0 Fronteira
28 -46.01544213779689 -23.33197332314754 0 Fronteira
29 -46.01552063699291 -23.33173304993359 0 Fronteira
30 -46.01563838662237 -23.33150478938802 0 Fronteira
31 -46.01578230319812 -23.33131256849958 0 Fronteira
32 -46.01592622012343 -23.33115638783416 0 Fronteira
33 -46.01620097182967 -23.33106027255615 0 Fronteira
34 -46.01642339104316 -23.3310722815501 0 Fronteira
35 -46.01693364884631 -23.33116837824851 0 Fronteira
36 -46.01716915423105 -23.33126448146055 0 Fronteira
37 -46.01747007861201 -23.33137259576907 0 Fronteira
38 -46.01761400132347 -23.3315527968314 0 Fronteira
39 -46.01778409050297 -23.33164890098339 0 Fronteira
40 -46.01800651630843 -23.33178104407907 0 Fronteira
41 -46.01818969349829 -23.33202131172949 0 Fronteira
42 -46.01834670255676 -23.33217748409851 0 Fronteira
43 -46.01851679654034 -23.33233365583646 0 Fronteira
44 -46.01872614257798 -23.33246579866388 0 Fronteira
45 -46.01881773575384 -23.33267002787613 0 Fronteira
46 -46.01889624502051 -23.33286224397049 0 Fronteira
47 -46.01896167093465 -23.33306647400521 0 Fronteira
48 -46.01897476256923 -23.33330674694628 0 Fronteira
49 -46.01896168644603 -23.33355903426274 0 Fronteira
50 -46.01892244083179 -23.33375125398386 0 Fronteira
51 -46.0187916030522 -23.33384736719544 0 Fronteira
52 -46.01862150944739 -23.33383535860587 0 Fronteira
53 -46.01842524574643 -23.33373925529605 0 Fronteira
54 -46.01816356353455 -23.33364315373275 0 Fronteira
55 -46.01784955111832 -23.3336912162541 0 Fronteira
56 -46.01762712839948 -23.33381135727356 0 Fronteira
57 -46.01739162157278 -23.33389545732318 0 Fronteira
58 -46.0171822836134 -23.33401559695644 0 Fronteira
59 -46.01703836447383 -23.3341237214376 0 Fronteira
60 -46.01694678026625 -23.33423184482513 0 Fronteira
61 -46.01684211274634 -23.33435198180839 0 Fronteira
